_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
46	2021	102	Torino Politecnico	L-09	Ingegneria Meccanica	TORINO	1	M	581
47	2020	3701	Bologna	LMG/01	Giurisprudenza	BOLOGNA	37	F	579
48	2021	1504	Milano Cattolica	L-18	Economia e Gestione Aziendale	MILANO	15	M	578
49	2019	102	Torino Politecnico	L-09	Ingegneria Meccanica	TORINO	1	M	576
50	2019	1503	Milano Bocconi	L-18	Economia Aziendale e Management	MILANO	15	M	576
51	2020	6307	Napoli Pegaso - telematica	L-22	Scienze Motorie	NAPOLI	63	F	568
52	2020	1504	Milano Cattolica	L-18	Economia e Gestione Aziendale	MILANO	15	M	567
53	2021	1502	Milano Politecnico	LM-31	Management Engineering - Ingegneria Gestionale	MILANO	15	M	565
54	2021	2701	Venezia Cà Foscari	L-11	Lingue, Civiltà e Scienze del Linguaggio	VENEZIA	27	F	563
55	2021	1504	Milano Cattolica	L-18	Economia e Gestione Aziendale	MILANO	15	F	561
56	2021	6307	Napoli Pegaso - telematica	LM-26	Ingegneria della Sicurezza	NAPOLI	63	M	561
57	2020	101	Torino	L-18	Economia Aziendale	TORINO	1	M	559
58	2019	1504	Milano Cattolica	L-18	Economia e Gestione Aziendale	MILANO	15	M	558
59	2021	1301	Novedrate e-Campus - telematica	L-19	Scienze dell'Educazione e della Formazione	NOVEDRATE	13	F	546
60	2018	3701	Bologna	LMG/01	Giurisprudenza	BOLOGNA	37	F	545
61	2019	3701	Bologna	LMG/01	Giurisprudenza	BOLOGNA	37	F	544
62	2021	6301	Napoli Federico II	LMG/01	Corso di Laurea Magistrale in Giurisprudenza	NAPOLI	63	F	543
63	2021	1502	Milano Politecnico	L-08	Ingegneria Informatica	MILANO	15	M	541
64	2021	5815	Roma UNICUSANO - telematica	L-18	Economia Aziendale e Management,	ROMA	58	M	538
65	2019	6307	Napoli Pegaso - telematica	LM-56	Scienze Economiche	NAPOLI	63	M	537
66	2018	1504	Milano Cattolica	L-18	Economia e Gestione Aziendale	MILANO	15	M	535
67	2018	6307	Napoli Pegaso - telematica	L-22	Scienze Motorie	NAPOLI	63	M	533
68	2019	6307	Napoli Pegaso - telematica	L-07	Ingegneria Civile	NAPOLI	63	M	525
69	2020	101	Torino	L-18	Economia Aziendale	TORINO	1	F	525
70	2020	1504	Milano Cattolica	L-12	Scienze Linguistiche	MILANO	15	F	524
71	2019	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	F	513
72	2020	4801	Firenze	L-14	Scienze Giuridiche della Sicurezza	FIRENZE	48	M	512
73	2020	1504	Milano Cattolica	L-18	Economia e Gestione Aziendale	MILANO	15	F	511
74	2021	3701	Bologna	LMG/01	Giurisprudenza	BOLOGNA	37	F	511
75	2020	102	Torino Politecnico	L-09	Ingegneria Meccanica	TORINO	1	M	510
76	2019	1501	Milano	L-12	Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale	SESTO SAN GIOVANNI	15	F	509
77	2018	102	Torino Politecnico	L-09	Ingegneria Meccanica	TORINO	1	M	509
78	2018	1503	Milano Bocconi	L-18	Economia Aziendale e Management	MILANO	15	M	506
79	2018	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	ROMA	58	F	498
80	2021	5805	Roma LUISS	L-18	Economia e Management	ROMA	58	M	495
81	2021	6307	Napoli Pegaso - telematica	LM-47	Management dello Sport e delle Attività Motorie	NAPOLI	63	F	491
82	2021	5815	Roma UNICUSANO - telematica	LMG/01	Giurisprudenza	ROMA	58	M	490
83	2021	101	Torino	L-18	Economia Aziendale	TORINO	1	M	490
84	2020	5805	Roma LUISS	L-18	Economia e Management	ROMA	58	M	483
85	2019	1502	Milano Politecnico	LM-31	Management Engineering - Ingegneria Gestionale	MILANO	15	M	482
86	2018	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	F	482
87	2021	6303	Napoli L'Orientale	L-12	Mediazione Linguistica e Culturale	NAPOLI	63	F	472
88	2018	1504	Milano Cattolica	L-12	Scienze Linguistiche	MILANO	15	F	471
89	2021	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	ROMA	58	F	469
90	2018	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	F	465
91	2021	1504	Milano Cattolica	L-12	Scienze Linguistiche	MILANO	15	F	463
92	2018	5815	Roma UNICUSANO - telematica	L-18	Economia Aziendale e Management,	ROMA	58	M	458
93	2020	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	ROMA	58	F	458
94	2018	1601	Bergamo	L-19	Scienze dell'Educazione	BERGAMO	16	F	457
95	2021	102	Torino Politecnico	LM-33	Ingegneria Meccanica	TORINO	1	M	457
96	2021	3801	Ferrara	L-02	Biotecnologie	FERRARA	38	F	457
97	2018	1502	Milano Politecnico	LM-31	Management Engineering - Ingegneria Gestionale	MILANO	15	M	454
